trip_id,user_id,user_type,bike_id,bike_type,start_station_id,end_station_id,start_time,end_time,duration_minutes,distance_km,status
TR10000,USR1087,member,BK229,electric,ST101,ST111,2024-02-15 00:20:00,2024-02-15 00:26:00,,2.65,completed
TR10001,USR1088,casual,BK290,classic,ST114,ST109,2024-05-08 07:39:00,2024-05-08 08:05:00,,1.42,completed
TR10002,USR1014,member,BK261,classic,ST113,ST102,2024-01-02 21:47:00,2024-01-02 22:07:00,,4.44,completed
TR10003,USR1050,casual,BK220,classic,ST106,ST101,2024-08-16 10:27:00,2024-08-16 10:34:00,,9.54,completed
TR10004,USR1008,member,BK252,electric,ST103,ST111,2024-06-15 14:51:00,2024-06-15 15:09:00,,4.96,completed
TR10005,USR1007,casual,BK234,electric,ST100,ST103,2024-09-25 09:42:00,2024-09-25 10:30:00,,2.64,completed
TR10006,USR1005,member,BK203,electric,ST112,ST114,2024-12-01 04:51:00,2024-12-01 04:57:00,,8.58,completed
TR10007,USR1073,member,BK299,electric,ST114,ST114,2024-05-20 11:23:00,2024-05-20 12:01:00,,1.8,completed
TR10008,USR1084,member,BK281,classic,ST104,ST107,2024-06-27 23:50:00,2024-06-28 00:34:00,,4.21,completed
TR10009,USR1040,casual,BK214,classic,ST100,ST108,2024-05-31 06:51:00,2024-05-31 07:40:00,,9.88,completed
TR10010,USR1007,member,BK262,classic,ST102,ST100,2024-03-24 10:31:00,2024-03-24 10:36:00,5.0,7.4,completed
TR10011,USR1004,member,BK240,electric,ST106,ST108,2024-02-12 22:58:00,2024-02-12 23:35:00,37.0,6.61,completed
TR10012,USR1047,casual,BK222,electric,ST107,ST104,2024-09-17 21:53:00,2024-09-17 22:30:00,37.0,7.57,completed
TR10013,USR1090,casual,BK264,classic,ST104,ST114,2024-11-13 01:11:00,2024-11-13 01:37:00,26.0,7.42,completed
TR10014,USR1089,casual,BK213,classic,ST110,ST108,2024-05-07 19:44:00,2024-05-07 19:53:00,9.0,7.4,completed
TR10015,USR1076,casual,BK262,electric,ST106,ST100,2024-06-01 01:29:00,2024-06-01 02:15:00,46.0,3.83,completed
TR10016,USR1093,casual,BK222,classic,ST112,ST114,2024-03-17 20:47:00,2024-03-17 20:55:00,8.0,7.8,completed
TR10017,USR1031,casual,BK258,classic,ST105,ST111,2024-04-24 12:19:00,2024-04-24 12:36:00,17.0,9.37,completed
TR10018,USR1005,member,BK227,electric,ST111,ST103,2024-02-14 11:24:00,2024-02-14 12:21:00,57.0,9.03,completed
TR10019,USR1091,casual,BK261,classic,ST100,ST108,2024-04-16 04:26:00,2024-04-16 05:25:00,59.0,6.83,completed
TR10020,USR1076,casual,BK202,classic,ST105,ST107,2024-04-05 17:28:00,2024-04-05 18:24:00,56.0,5.81,completed
TR10021,USR1096,casual,BK243,electric,ST114,ST110,2024-09-21 18:05:00,2024-09-21 18:46:00,41.0,3.91,completed
TR10022,USR1051,casual,BK261,classic,ST109,ST103,2024-12-05 14:55:00,2024-12-05 15:23:00,28.0,3.22,completed
TR10023,USR1002,casual,BK255,classic,ST110,ST100,2024-02-15 08:38:00,2024-02-15 08:44:00,6.0,9.79,completed
TR10024,USR1086,casual,BK295,classic,ST100,ST102,2024-03-19 08:59:00,2024-03-19 09:57:00,58.0,7.13,completed
TR10025,USR1089,member,BK269,electric,ST106,ST103,2024-05-31 12:04:00,2024-05-31 12:52:00,48.0,1.73,completed
TR10026,USR1037,member,BK268,electric,ST101,ST105,2024-03-17 05:11:00,2024-03-17 05:32:00,21.0,4.59,completed
TR10027,USR1015,casual,BK272,electric,ST110,ST105,2024-03-17 10:38:00,2024-03-17 11:30:00,52.0,7.26,completed
TR10028,USR1058,member,BK218,electric,ST102,ST114,2024-09-02 20:50:00,2024-09-02 21:14:00,24.0,3.04,completed
TR10029,USR1051,casual,BK232,electric,ST106,ST101,2024-04-03 01:03:00,2024-04-03 01:14:00,11.0,8.54,completed
